order_id,customer_name,order_datetime,gross_amount_paise,instrument,status
ORD-1-0000,Madhav Pant,2025-01-07T10:22:00,470868,NETBANKING,captured
ORD-1-0001,Ganga Mistry,2025-01-08T20:27:00,4878611,NETBANKING,captured
ORD-1-0002,Manya Memon,2025-01-09T20:01:00,401597,CARD_CREDIT,captured
ORD-1-0003,Vasana Solanki,2025-01-08T16:18:00,1507323,UPI,captured
ORD-1-0004,Eiravati Garg,2025-01-11T12:52:00,3138548,CARD_CREDIT,captured
ORD-1-0005,Avni Bajaj,2025-01-07T08:11:00,4119453,NETBANKING,captured
ORD-1-0006,Ishita Kunda,2025-01-07T11:06:00,4260698,CARD_DEBIT,captured
ORD-1-0007,Upasna Varughese,2025-01-08T13:41:00,1955175,CARD_DEBIT,captured
ORD-1-0008,Samesh Jani,2025-01-07T18:25:00,1598839,NETBANKING,captured
ORD-1-0009,Henry Dhar,2025-01-07T10:46:00,2840451,NETBANKING,refunded_full
ORD-1-0010,Ekaja Raju,2025-01-12T13:56:00,1520568,CARD_DEBIT,captured
ORD-1-0011,Owen Nayar,2025-01-06T15:57:00,1611167,UPI,captured
ORD-1-0012,Aryan Batra,2025-01-12T20:15:00,3017208,UPI,captured
ORD-1-0013,Yutika Iyer,2025-01-07T15:27:00,4500946,UPI,captured
ORD-1-0014,Samuel Bala,2025-01-12T11:05:00,838827,CARD_CREDIT,captured
ORD-1-0015,Rudra Bava,2025-01-08T18:21:00,4210829,CARD_DEBIT,captured
ORD-1-0016,Dipta Zachariah,2025-01-09T17:26:00,4913122,UPI,captured
ORD-1-0017,Pranav Hari,2025-01-06T14:18:00,4998919,UPI,captured
ORD-1-0018,Suhani Kapur,2025-01-06T11:57:00,4329048,UPI,captured
ORD-1-0019,Neel Bath,2025-01-07T22:07:00,4128851,CARD_CREDIT,captured
ORD-1-0020,Naveen Kar,2025-01-08T10:39:00,253576,UPI,captured
ORD-1-0021,Hitesh Shanker,2025-01-09T10:31:00,4126382,UPI,captured
ORD-1-0022,Bhavya Pradhan,2025-01-11T11:20:00,4689722,UPI,captured
ORD-1-0023,Megha Pall,2025-01-09T22:01:00,1708518,CARD_CREDIT,captured
ORD-1-0024,Yug Kannan,2025-01-10T21:17:00,749868,CARD_CREDIT,captured
ORD-1-0025,Chaman Nazareth,2025-01-08T16:42:00,880591,NETBANKING,captured
ORD-1-0026,Rehaan Tara,2025-01-07T19:38:00,3273551,UPI,captured
ORD-1-0027,Advaith Ghosh,2025-01-11T18:22:00,3198965,UPI,captured
ORD-1-0028,Gaurika Bobal,2025-01-11T22:40:00,2718256,NETBANKING,captured
ORD-1-0029,Radha Parekh,2025-01-09T09:52:00,1713938,UPI,refunded_partial
ORD-1-0030,Atharv Edwin,2025-01-12T08:35:00,3741600,UPI,refunded_full
ORD-1-0031,Rajeshri Toor,2025-01-11T15:00:00,2743697,UPI,captured
ORD-1-0031-D,Rajeshri Toor,2025-01-11T15:04:13,2743697,UPI,captured
ORD-1-0032,Christopher Guha,2025-01-08T12:21:00,4627593,UPI,captured
ORD-1-0033,Girindra Toor,2025-01-12T19:34:00,2178162,UPI,captured
ORD-1-0034,Wyatt Yohannan,2025-01-10T19:11:00,3489411,CARD_CREDIT,captured
ORD-1-0035,Ria Sharma,2025-01-09T12:17:00,952384,NETBANKING,captured
ORD-1-0036,Raagini Khosla,2025-01-07T16:23:00,4503192,UPI,refunded_partial
ORD-1-0037,Aarini Lalla,2025-01-11T13:15:00,2334285,CARD_DEBIT,captured
ORD-1-0038,Dhruv Peri,2025-01-06T18:27:00,1022929,CARD_CREDIT,captured
ORD-1-0039,Max Banerjee,2025-01-06T20:08:00,1570918,UPI,captured
ORD-1-0040,Zarna Kalita,2025-01-08T16:36:00,1001530,NETBANKING,captured
ORD-1-0041,Dev Manne,2025-01-11T20:43:00,1816305,CARD_CREDIT,captured
ORD-1-0042,Brinda Nazareth,2025-01-12T20:50:00,2622396,UPI,captured
ORD-1-0043,Anita Nadig,2025-01-09T09:42:00,2207456,CARD_DEBIT,captured
ORD-1-0044,Unni Minhas,2025-01-10T13:59:00,127205,UPI,captured
ORD-1-0045,Yug Sen,2025-01-12T17:45:00,3028766,UPI,captured
ORD-1-0046,Anika Rattan,2025-01-11T20:37:00,484519,UPI,captured
ORD-1-0047,Jairaj Nair,2025-01-09T14:15:00,4373041,CARD_DEBIT,captured
ORD-1-0048,Nidhi Gulati,2025-01-11T08:59:00,2996033,CARD_DEBIT,captured
ORD-1-0049,Jagrati Dalal,2025-01-11T19:16:00,248173,UPI,captured
ORD-1-0050,Jason Narang,2025-01-08T17:39:00,903280,CARD_DEBIT,captured
ORD-1-0051,Urvi Kumer,2025-01-08T15:17:00,3276777,UPI,refunded_partial
ORD-1-0052,Maanas Garde,2025-01-08T20:14:00,1568950,CARD_DEBIT,captured
ORD-1-0052-D,Maanas Garde,2025-01-08T20:23:07,1568950,CARD_DEBIT,captured
ORD-1-0053,Radhika Aurora,2025-01-09T21:57:00,2465112,NETBANKING,captured
ORD-1-0054,Kavya Gole,2025-01-09T10:08:00,1020957,UPI,captured
ORD-1-0055,Falak Anne,2025-01-10T22:27:00,3054331,CARD_CREDIT,captured
ORD-1-0056,Upma Dutta,2025-01-07T21:24:00,2098193,CARD_CREDIT,captured
ORD-1-0057,Chavvi Kapur,2025-01-08T14:22:00,3905430,NETBANKING,captured
ORD-1-0058,Fitan Chakrabarti,2025-01-08T14:07:00,3762233,UPI,captured
ORD-1-0059,Tanish Bahl,2025-01-07T20:23:00,2539158,CARD_CREDIT,captured
